class;location;faceDirection;speed;senseRadius;energy
Being;(328.3839544340723, 292.10115555344);(-0.9606228394901504, 0.2778556464243271);1.9969284587330631;9.30884649885388;4.440041683816611
Being;(564.4245831457068, 135.502540924141);(-0.7979436157190494, 0.6027321014623414);1.8634035228342023;8.549636312349868;10.237446983877403
Being;(159.50183158014056, 316.29308191159663);(0.6628536850905771, 0.7487489513594273);1.8322703577121267;7.793158641793767;9.675798031314782
Being;(172.37892153074574, 47.745575161371754);(0.8784367095250809, -0.47785871066534785);2.351638695702526;8.892577164264797;3.6205469016483853
Being;(72.08257853476921, 299.5360476695402);(-0.3578784181523331, -0.9337681927656264);2.428515587617773;8.238304691324263;6.420225904715405
Being;(280.7494614581203, 151.92612012178972);(-0.1375450857131447, -0.9904955070045315);1.830597940986479;7.241507767240009;10.59130976643087
Being;(104.45190027941219, 251.27209693834615);(0.8232280574029498, -0.5677108115093157);1.3593794012645455;7.542125395825304;4.348511065234953
Being;(397.1971035564684, 145.38597017149903);(-0.318896044280808, 0.9477896986895631);1.5332349475641491;8.277995345543271;14.82536621800414
Being;(17.39423063727268, 583.1089717293771);(0.984971396273561, 0.17271753970836826);1.365915958262284;8.418084390333417;7.101789684720475
Being;(114.74592967911208, 331.20311162197805);(0.7373891333324042, -0.6754681828504479);2.3969336617471155;6.858335819938308;12.749813447591123
Being;(337.8086228819046, 479.87800888335784);(-0.9748326316555238, -0.22293797401870707);2.5674403350866664;12.97487395372499;6.553622213855904
Being;(79.66306828440375, 421.2188538904762);(-0.994535337170332, 0.10440049386613941);1.9397204024311272;10.709684174874624;9.108277476160978
Being;(337.69802900655554, 236.25857738640738);(-0.9978535947970304, -0.06548437485876983);1.9415015717383644;9.392709351502324;9.58685833635382
Being;(556.1650430119781, 421.00206473864034);(0.9439791946551996, -0.33000496974760973);3.7865811491804253;10.331511089513322;6.635069837426344
Being;(167.9820001722329, 395.04393441326135);(0.7299448407778469, 0.6835060566094524);1.7687958032088205;7.457819084121803;9.939626498904673
Being;(215.27689174124242, 560.0438810331028);(-0.5277401288577149, 0.8494058843646203);2.150107261579213;8.40938872840555;5.879354327252015
Being;(112.42090499913999, 561.5951793356181);(0.7305465085059398, 0.6828629429905979);2.9749504525601065;7.612893702287644;15.238507180468398
Being;(84.37591523621332, 410.200014519737);(-0.9945811704898202, 0.10396295160824998);2.6829573502423703;7.029699107772945;5.267668295877776
Being;(447.2618783852401, 370.89630944402126);(0.9970426723879526, 0.07684991501289835);4.489590823876589;18.545268688170083;6.520734892474872
Being;(377.9760386947691, 52.15885751324778);(0.9999321072206652, -0.011652508281062266);2.8806122790339317;10.627706424992418;7.635813641190283
Being;(420.8223646008003, 288.0853869552015);(0.044752062021878085, 0.9989981245952316);1.9928872968044102;9.000840641987443;8.978349542057332
Being;(543.5368563179669, 302.95233372152785);(-0.9263753754574718, 0.376601465406108);2.301006274498999;7.3507265493415765;9.67608605914676
Being;(89.08994710528673, 447.07847379367644);(0.8791780896890761, 0.4764933227346074);2.3680587585106867;10.143911902764142;8.104951702371812
Being;(430.88907038598444, 95.78096403372834);(-0.49428872804451396, -0.869297793237816);2.9958304542199787;6.402311520451498;3.763446986876132
Being;(57.98285562851593, 327.44373770677646);(-0.9666514425293952, 0.2560956630945544);1.8018379589533304;6.350948676377919;11.537813727656918
